Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.0253,,,,,,,,,,,,,,,,319,0.0190,-0.0165,0.0028,0.6784,1.1542,2.7072,0.6595,1.1707,2.7044
1,Line,0.0253,,,,,,,,,,,,,,,,317,0.0184,-0.0172,0.0023,0.6968,1.1370,2.7096,0.6784,1.1542,2.7072
1,Line,0.0140,,,,,,,,,,,,,,,,210,-0.0042,-0.0024,0.0131,0.6595,1.1707,2.7044,0.6636,1.1731,2.6913
1,Line,0.0253,,,,,,,,,,,,,,,,326,0.0205,-0.0141,0.0042,0.6199,1.2013,2.6974,0.5993,1.2154,2.6932
1,Line,0.0129,,,,,,,,,,,,,,,,210,-0.0039,-0.0022,0.0121,0.5783,1.2286,2.6885,0.5822,1.2308,2.6764
1,Line,0.0135,,,,,,,,,,,,,,,,210,-0.0041,-0.0023,0.0127,0.5993,1.2154,2.6932,0.6034,1.2177,2.6805
1,Line,0.0140,,,,,,,,,,,,,,,,210,-0.0042,-0.0024,0.0131,0.6199,1.2013,2.6974,0.6241,1.2037,2.6843
1,Line,0.0253,,,,,,,,,,,,,,,,323,0.0200,-0.0149,0.0038,0.6399,1.1864,2.7011,0.6199,1.2013,2.6974
1,Line,0.0253,,,,,,,,,,,,,,,,310,0.0164,-0.0192,0.0009,0.7479,1.0813,2.7138,0.7315,1.1005,2.7128
1,Line,0.0091,,,,,,,,,,,,,,,,30,0.0027,0.0016,-0.0086,0.7507,1.0829,2.7052,0.7479,1.0813,2.7138
1,Line,0.0106,,,,,,,,,,,,,,,,210,-0.0032,-0.0018,0.0100,0.7315,1.1005,2.7128,0.7347,1.1024,2.7029
1,Line,0.0091,,,,,,,,,,,,,,,,167,-0.0014,0.0003,0.0090,0.5157,1.2646,2.6633,0.5171,1.2643,2.6543
1,Line,0.0253,,,,,,,,,,,,,,,,335,0.0226,-0.0103,0.0045,0.5383,1.2543,2.6679,0.5157,1.2646,2.6633
1,Line,0.0253,,,,,,,,,,,,,,,,315,0.0177,-0.0179,0.0019,0.7145,1.1191,2.7115,0.6968,1.1370,2.7096
1,Line,0.0135,,,,,,,,,,,,,,,,210,-0.0041,-0.0023,0.0127,0.6784,1.1542,2.7072,0.6825,1.1566,2.6945
1,Line,0.0129,,,,,,,,,,,,,,,,210,-0.0039,-0.0022,0.0121,0.6968,1.1370,2.7096,0.7006,1.1392,2.6975
1,Line,0.0119,,,,,,,,,,,,,,,,210,-0.0036,-0.0020,0.0112,0.7145,1.1191,2.7115,0.7180,1.1212,2.7003
1,Line,0.0253,,,,,,,,,,,,,,,,313,0.0171,-0.0186,0.0014,0.7315,1.1005,2.7128,0.7145,1.1191,2.7115
1,Line,0.0253,,,,,,,,,,,,,,,,324,0.0199,-0.0143,0.0060,0.6675,1.0837,2.6419,0.6476,1.0980,2.6360
1,Line,0.0140,,,,,,,,,,,,,,,,48,0.0083,0.0094,-0.0061,0.6277,1.1128,2.6309,0.6194,1.1034,2.6371
1,Line,0.0135,,,,,,,,,,,,,,,,48,0.0081,0.0091,-0.0059,0.6476,1.0980,2.6360,0.6395,1.0889,2.6419
1,Line,0.0129,,,,,,,,,,,,,,,,48,0.0077,0.0086,-0.0056,0.6675,1.0837,2.6419,0.6599,1.0750,2.6476
1,Line,0.0253,,,,,,,,,,,,,,,,325,0.0199,-0.0139,0.0070,0.6875,1.0698,2.6489,0.6675,1.0837,2.6419
