Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Circumference,Diameter,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,1.2583,,,,,,16,-0.0820,0.1519,0.9456,-5646.6979,2170.7215,71.1141,-5646.6158,2170.5696,70.1685
1,Line,,,,,,,,,,,3.1374,,,,,,112,-0.5326,-0.3554,-0.6000,-5646.6158,2170.5696,70.1685,-5646.0833,2170.9250,70.7685
1,Line,,,,,,,,,,,2.1511,,,,,,67,-0.4154,0.0826,-0.6905,-5646.0512,2170.9056,70.9246,-5645.6358,2170.8230,71.6151
1,Line,,,,,,,,,,,0.5645,,,,,,74,-0.1129,0.0071,0.1502,-5647.0243,2170.3063,68.2027,-5646.9114,2170.2992,68.0525
1,Line,,,,,,,,,,,3.1118,,,,,,170,-0.0085,0.2118,2.9401,-5646.6954,2170.2133,71.9654,-5646.6869,2170.0015,69.0253
1,Line,,,,,,,,,,,5.5710,,,,,,65,-1.1250,0.2572,0.4744,-5646.6954,2170.2133,71.9654,-5645.5704,2169.9561,71.4910
1,Line,,,,,,,,,,,0.9975,,,,,,163,-0.0148,-0.1727,-0.5478,-5645.5704,2169.9561,71.4910,-5645.5556,2170.1287,72.0387
1,Line,,,,,,,,,,,2.2665,,,,,,130,0.1679,0.2165,1.8441,-5645.7556,2170.8794,101.9942,-5645.9235,2170.6629,100.1501
1,Line,,,,,,,,,,,1.5494,,,,,,76,0.2954,-0.0107,-0.6162,-5645.3207,2170.6404,98.8873,-5645.6161,2170.6511,99.5035
1,Line,,,,,,,,,,,3.9659,,,,,,176,-0.0467,0.3367,3.6132,-5645.3675,2170.9771,102.5005,-5645.3207,2170.6404,98.8873
1,Line,,,,,,,,,,,5.4979,,,,,,74,-1.1398,0.0845,-0.0734,-5646.6954,2170.2133,71.9654,-5645.5556,2170.1287,72.0387
1,Line,,,,,,,,,,,3.4585,,,,,,168,-0.0038,-0.6847,1.0562,-5645.6348,2170.6537,71.9332,-5645.6310,2171.3384,70.8770
1,Line,,,,,,,,,,,4.2032,,,,,,124,-0.5947,-0.6061,0.9945,-5646.1745,2171.2379,71.4388,-5645.5798,2171.8440,70.4444
1,Line,,,,,,,,,,,2.4822,,,,,,162,-0.0512,-0.5056,0.4327,-5645.6310,2171.3384,70.8770,-5645.5798,2171.8440,70.4444
