Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.3938,,,,,,,,,,,,,,96,-0.0445,0.3907,-0.0223,-6.0659,16.4318,6.1763,-6.0214,16.0411,6.1986
1,Line,0.4575,,,,,,,,,,,,,,267,-0.0212,-0.3907,0.2371,-6.0214,16.0411,6.1986,-6.0002,16.4318,5.9615
1,Line,0.6200,,,,,,,,,,,,,,269,-0.0124,-0.5724,-0.2380,-6.5354,36.2746,4.7996,-6.5230,36.8470,5.0376
1,Line,1.2865,,,,,,,,,,,,,,269,-0.0289,-1.2502,-0.3023,-6.4961,32.1399,5.0372,-6.4673,33.3901,5.3395
1,Line,1.2382,,,,,,,,,,,,,,269,-0.0278,-1.2039,-0.2880,-6.3776,32.0703,5.0407,-6.3498,33.2741,5.3288
1,Line,0.9688,,,,,,,,,,,,,,269,-0.0186,-0.9289,-0.2745,-6.5633,34.2935,4.9136,-6.5447,35.2224,5.1882
1,Line,0.2756,,,,,,,,,,,,,,269,-0.0045,-0.1751,-0.2127,-6.3848,37.5343,4.7267,-6.3803,37.7094,4.9393
1,Line,0.3368,,,,,,,,,,,,,,94,-0.0151,0.1933,0.2753,-6.4851,39.1521,5.1438,-6.4699,38.9588,4.8685
1,Line,0.8591,,,,,,,,,,,,,,88,0.0232,0.8380,0.1877,-6.2739,34.6497,5.4604,-6.2970,33.8117,5.2727
1,Line,0.2126,,,,,,,,,,,,,,268,-0.0020,-0.0684,-0.2013,-6.4322,38.3946,4.6774,-6.4302,38.4630,4.8786
1,Line,0.4097,,,,,,,,,,,,,,93,-0.0141,0.2846,0.2944,-6.4556,38.8650,5.1639,-6.4414,38.5804,4.8696
1,Line,0.2117,,,,,,,,,,,,,,267,-0.0011,-0.0235,-0.2104,-6.4581,38.8081,4.6537,-6.4571,38.8316,4.8641
1,Line,0.8582,,,,,,,,,,,,,,88,0.0253,0.8383,0.1819,-6.2883,34.4168,5.4769,-6.3136,33.5785,5.2950
1,Line,1.0892,,,,,,,,,,,,,,269,-0.0244,-1.0533,-0.2765,-6.3296,32.6315,5.0083,-6.3052,33.6848,5.2847
1,Line,0.3038,,,,,,,,,,,,,,90,0.0000,0.3035,0.0125,-6.6560,15.2598,7.2098,-6.6560,14.9563,7.1973
1,Line,0.3486,,,,,,,,,,,,,,104,-0.0737,0.3035,-0.1548,-7.1686,15.2598,6.5964,-7.0950,14.9563,6.7511
1,Line,0.3036,,,,,,,,,,,,,,90,0.0000,0.3035,0.0064,-7.1686,15.2598,6.5964,-7.1686,14.9563,6.5900
1,Line,0.3443,,,,,,,,,,,,,,103,-0.0719,0.3035,0.1457,-6.2943,15.2598,6.8969,-6.2224,14.9563,6.7511
1,Line,0.3515,,,,,,,,,,,,,,90,0.0000,0.3512,-0.0126,-6.5834,15.6110,7.1847,-6.5834,15.2598,7.1973
1,Line,0.3038,,,,,,,,,,,,,,90,0.0000,0.3035,0.0124,-6.7288,15.2598,7.1973,-6.7288,14.9563,7.1849
1,Line,0.6240,,,,,,,,,,,,,,89,0.0066,0.4601,-0.4214,-6.1455,14.1196,5.9496,-6.1521,13.6595,6.3710
1,Line,0.4364,,,,,,,,,,,,,,100,-0.0728,0.4301,-0.0131,-6.6562,16.0411,7.1716,-6.5834,15.6110,7.1847
1,Line,0.4309,,,,,,,,,,,,,,90,-0.0017,0.4301,-0.0251,-6.5851,16.0411,7.1596,-6.5834,15.6110,7.1847
1,Line,0.5516,,,,,,,,,,,,,,83,0.0597,0.5078,-0.2070,-6.6873,19.5662,5.9501,-6.7470,19.0585,6.1571
1,Line,0.5429,,,,,,,,,,,,,,81,0.0763,0.5078,-0.1764,-6.6873,19.5662,5.9501,-6.7637,19.0585,6.1265
1,Line,0.0779,,,,,,,,,,,,,,263,-0.0066,-0.0555,-0.0542,-6.1521,13.6595,6.3710,-6.1455,13.7150,6.4252
1,Line,0.0463,,,,,,,,,,,,,,108,-0.0117,0.0359,0.0268,-6.3052,14.5751,6.8652,-6.2936,14.5392,6.8384
1,Line,0.0800,,,,,,,,,,,,,,45,0.0363,0.0359,-0.0616,-6.2573,14.5751,6.7768,-6.2936,14.5392,6.8384
1,Line,0.3350,,,,,,,,,,,,,,103,-0.0721,0.3035,0.1221,-6.3663,15.2598,7.0095,-6.2943,14.9563,6.8875
1,Line,0.3988,,,,,,,,,,,,,,91,-0.0075,0.3907,-0.0799,-6.6636,16.4318,7.0917,-6.6562,16.0411,7.1716
1,Line,0.4613,,,,,,,,,,,,,,95,-0.0377,0.4257,-0.1738,-6.8789,17.5676,6.6643,-6.8412,17.1419,6.8381
1,Line,0.4392,,,,,,,,,,,,,,87,0.0218,0.4257,-0.1060,-6.8789,17.5676,6.6643,-6.9006,17.1419,6.7703
1,Line,0.3960,,,,,,,,,,,,,,83,0.0428,0.3722,-0.1283,-6.7694,18.6990,6.3089,-6.8121,18.3267,6.4372
1,Line,0.4012,,,,,,,,,,,,,,103,-0.0906,0.3907,0.0106,-6.4632,16.4318,6.9900,-6.3726,16.0411,6.9794
1,Line,0.3980,,,,,,,,,,,,,,93,-0.0199,0.3907,-0.0735,-6.4632,16.4318,6.9900,-6.4433,16.0411,7.0635
1,Line,0.3037,,,,,,,,,,,,,,90,0.0000,0.3035,0.0094,-6.2943,15.2598,6.8969,-6.2943,14.9563,6.8875
1,Line,0.4417,,,,,,,,,,,,,,100,-0.0768,0.4301,0.0646,-6.4433,16.0411,7.0635,-6.3664,15.6110,6.9989
1,Line,0.4306,,,,,,,,,,,,,,91,-0.0062,0.4301,-0.0195,-6.3726,16.0411,6.9794,-6.3664,15.6110,6.9989
1,Line,0.6954,,,,,,,,,,,,,,269,-0.0141,-0.6498,-0.2472,-6.5436,35.8146,4.8261,-6.5295,36.4644,5.0733
1,Line,0.6448,,,,,,,,,,,,,,90,-0.0002,0.5935,0.2522,-6.3288,37.3092,5.2731,-6.3286,36.7157,5.0209
1,Line,0.3737,,,,,,,,,,,,,,269,-0.0073,-0.2989,-0.2242,-6.3449,36.6483,4.7774,-6.3376,36.9471,5.0016
1,Line,0.8039,,,,,,,,,,,,,,88,0.0300,0.7870,0.1614,-6.3634,33.8462,5.5174,-6.3934,33.0592,5.3560
1,Line,1.3101,,,,,,,,,,,,,,269,-0.0294,-1.2763,-0.2945,-6.4097,31.8384,5.0542,-6.3802,33.1147,5.3486
1,Line,0.4705,,,,,,,,,,,,,,269,-0.0095,-0.3956,-0.2545,-6.5354,36.2746,4.7996,-6.5259,36.6702,5.0541
1,Line,1.3473,,,,,,,,,,,,,,269,-0.0168,-1.3147,-0.2940,-6.5150,32.3839,5.0232,-6.4982,33.6985,5.3173
1,Line,0.6997,,,,,,,,,,,,,,269,-0.0151,-0.6424,-0.2768,-6.5565,34.9964,4.8732,-6.5413,35.6389,5.1500
1,Line,0.8382,,,,,,,,,,,,,,269,-0.0169,-0.7958,-0.2626,-6.5565,34.9964,4.8732,-6.5396,35.7922,5.1358
1,Line,0.4326,,,,,,,,,,,,,,269,-0.0088,-0.3664,-0.2298,-6.3284,36.2028,4.8030,-6.3196,36.5692,5.0328
1,Line,0.8282,,,,,,,,,,,,,,88,0.0287,0.8104,0.1682,-6.3328,34.0129,5.5055,-6.3614,33.2025,5.3373
1,Line,0.5996,,,,,,,,,,,,,,90,-0.0031,0.5401,0.2604,-6.3505,37.6295,5.2506,-6.3474,37.0894,4.9902
1,Line,1.2980,,,,,,,,,,,,,,269,-0.0177,-1.2643,-0.2931,-6.5304,32.6289,5.0092,-6.5127,33.8932,5.3023
1,Line,1.1391,,,,,,,,,,,,,,269,-0.0255,-1.0984,-0.3007,-6.5426,32.8780,4.9949,-6.5172,33.9763,5.2956
1,Line,1.2478,,,,,,,,,,,,,,269,-0.0185,-1.2131,-0.2916,-6.5426,32.8780,4.9949,-6.5242,34.0911,5.2865
1,Line,0.3209,,,,,,,,,,,,,,269,-0.0058,-0.2350,-0.2184,-6.3638,37.0930,4.7519,-6.3579,37.3280,4.9704
1,Line,0.3266,,,,,,,,,,,,,,269,-0.0044,-0.2605,-0.1969,-6.4957,38.5256,4.6701,-6.4913,38.7861,4.8670
1,Line,1.1901,,,,,,,,,,,,,,269,-0.0266,-1.1509,-0.3017,-6.5304,32.6289,5.0092,-6.5038,33.7798,5.3109
1,Line,1.0855,,,,,,,,,,,,,,269,-0.0242,-1.0432,-0.2991,-6.5519,33.1343,4.9802,-6.5277,34.1775,5.2794
1,Line,1.1963,,,,,,,,,,,,,,269,-0.0190,-1.1606,-0.2895,-6.5519,33.1343,4.9802,-6.5329,34.2949,5.2697
1,Line,0.8452,,,,,,,,,,,,,,268,-0.0259,-0.7452,-0.3980,-6.5134,38.3935,4.1967,-6.4875,39.1387,4.5947
1,Line,0.9698,,,,,,,,,,,,,,269,-0.0215,-0.9238,-0.2943,-6.5623,33.6810,4.9488,-6.5408,34.6048,5.2432
1,Line,1.1430,,,,,,,,,,,,,,269,-0.0192,-1.1063,-0.2868,-6.5584,33.4009,4.9649,-6.5391,34.5072,5.2517
1,Line,1.0292,,,,,,,,,,,,,,269,-0.0229,-0.9852,-0.2970,-6.5584,33.4009,4.9649,-6.5355,34.3861,5.2620
1,Line,0.2597,,,,,,,,,,,,,,268,-0.0036,-0.1370,-0.2207,-6.5063,37.8950,4.7064,-6.5026,38.0320,4.9270
1,Line,0.8568,,,,,,,,,,,,,,89,0.0188,0.8322,0.2029,-6.2592,35.1676,5.4238,-6.2780,34.3353,5.2210
1,Line,0.9316,,,,,,,,,,,,,,269,-0.0207,-0.8930,-0.2646,-6.3013,33.3038,4.9695,-6.2806,34.1968,5.2341
1,Line,0.3225,,,,,,,,,,,,,,269,-0.0056,-0.2224,-0.2335,-6.5165,37.3117,4.7400,-6.5109,37.5340,4.9735
1,Line,0.4646,,,,,,,,,,,,,,269,-0.0085,-0.4113,-0.2159,-6.5165,37.3117,4.7400,-6.5080,37.7230,4.9559
1,Line,0.2136,,,,,,,,,,,,,,268,-0.0018,-0.0553,-0.2063,-6.4957,38.5256,4.6701,-6.4940,38.5809,4.8764
1,Line,0.7879,,,,,,,,,,,,,,89,0.0109,0.7561,0.2211,-6.2687,36.0432,5.3621,-6.2797,35.2871,5.1411
1,Line,0.6365,,,,,,,,,,,,,,269,-0.0138,-0.5868,-0.2463,-6.2958,34.8906,4.8783,-6.2820,35.4774,5.1246
1,Line,0.3943,,,,,,,,,,,,,,269,-0.0076,-0.3091,-0.2447,-6.5263,36.7726,4.7710,-6.5187,37.0817,5.0157
1,Line,1.2392,,,,,,,,,,,,,,269,-0.0278,-1.2014,-0.3023,-6.5150,32.3839,5.0232,-6.4872,33.5853,5.3255
1,Line,1.3961,,,,,,,,,,,,,,269,-0.0156,-1.3647,-0.2944,-6.4961,32.1399,5.0372,-6.4805,33.5046,5.3316
1,Line,0.4967,,,,,,,,,,,,,,269,-0.0104,-0.4373,-0.2354,-6.3146,35.7595,4.8284,-6.3041,36.1967,5.0638
1,Line,1.0296,,,,,,,,,,,,,,269,-0.0191,-0.9908,-0.2793,-6.5639,33.9774,4.9318,-6.5448,34.9682,5.2111
1,Line,0.9072,,,,,,,,,,,,,,269,-0.0200,-0.8590,-0.2910,-6.5639,33.9774,4.9318,-6.5438,34.8365,5.2228
