Count,Name,Length,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,0.1274,,,,,,,,,,,,,,14,-0.0002,0.0105,0.0300,2.1532,2.5784,0.8137,2.1537,2.5540,0.7441
1,Line,0.1302,,,,,,,,,,,,,,29,-0.0027,0.0098,0.0340,2.1474,2.5604,0.7186,2.1537,2.5376,0.6397
1,Line,0.0467,,,,,,,,,,,,,,52,0.0027,-0.0034,0.0060,2.1537,2.5376,0.6397,2.1474,2.5455,0.6258
1,Line,0.1313,,,,,,,,,,,,,,27,-0.0030,0.0121,0.0150,2.1469,2.5821,0.7789,2.1537,2.5540,0.7441
1,Line,0.1297,,,,,,,,,,,,,,13,0.0000,0.0126,0.0100,2.1532,2.6075,0.8369,2.1532,2.5784,0.8137
1,Line,0.1311,,,,,,,,,,,,,,25,-0.0027,0.0126,-0.0050,2.1469,2.6075,0.8021,2.1532,2.5784,0.8137
1,Line,0.0469,,,,,,,,,,,,,,58,0.0027,-0.0027,0.0110,2.1537,2.5540,0.7441,2.1474,2.5604,0.7186
1,Line,0.1127,,,,,,,,,,,,,,15,0.0002,-0.0094,-0.0260,2.1474,2.5604,0.7186,2.1469,2.5821,0.7789
1,Line,0.1255,,,,,,,,,,,,,,13,0.0000,0.0068,-0.0450,2.1532,2.6769,0.6397,2.1532,2.6610,0.7441
1,Line,0.0464,,,,,,,,,,,,,,105,-0.0027,0.0000,0.0160,2.1469,2.6075,0.2361,2.1532,2.6075,0.1990
1,Line,0.1279,,,,,,,,,,,,,,13,0.0000,-0.0123,-0.0110,2.1532,2.6075,0.1990,2.1532,2.6361,0.2245
1,Line,0.0464,,,,,,,,,,,,,,156,0.0027,0.0037,0.0000,2.1532,2.6827,0.5191,2.1469,2.6743,0.5191
1,Line,0.1110,,,,,,,,,,,,,,13,0.0000,0.0021,0.0470,2.1469,2.6743,0.5191,2.1469,2.6695,0.4101
1,Line,0.1289,,,,,,,,,,,,,,1,-0.0027,-0.0123,0.0050,2.1469,2.6075,0.2361,2.1532,2.6361,0.2245
1,Line,0.1144,,,,,,,,,,,,,,97,-0.0112,0.0011,-0.0020,2.1124,2.7188,0.3242,2.1384,2.7161,0.3289
1,Line,0.2034,,,,,,,,,,,,,,14,0.0002,-0.0169,-0.0470,2.1129,2.6536,0.0482,2.1124,2.6928,0.1572
1,Line,0.1133,,,,,,,,,,,,,,13,0.0000,0.0110,0.0090,2.1469,2.6329,0.2570,2.1469,2.6075,0.2361
1,Line,0.2301,,,,,,,,,,,,,,57,0.0112,-0.0121,-0.0680,2.1384,2.6907,0.1665,2.1124,2.7188,0.3242
1,Line,0.1133,,,,,,,,,,,,,,13,0.0000,-0.0064,0.0400,2.1469,2.6547,0.7186,2.1469,2.6695,0.6258
1,Line,0.1233,,,,,,,,,,,,,,13,0.0000,0.0025,-0.0520,2.1532,2.6827,0.5191,2.1532,2.6769,0.6397
1,Line,0.1271,,,,,,,,,,,,,,49,-0.0027,0.0037,-0.0510,2.1469,2.6695,0.6258,2.1532,2.6610,0.7441
1,Line,0.0469,,,,,,,,,,,,,,148,0.0027,0.0027,0.0110,2.1532,2.6610,0.7441,2.1469,2.6547,0.7186
1,Line,0.1244,,,,,,,,,,,,,,122,-0.0027,-0.0011,-0.0520,2.1469,2.6743,0.5191,2.1532,2.6769,0.6397
