Count,Name,Length,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,51.6144,170,50.6471,-8.9629,-4.3109,-1417.1094,5581.7159,1155.3949,-1467.7565,5590.6788,1159.7057,,,,,,
1,Line,81.6947,170,80.1653,-14.1866,-6.8032,-1675.7757,5627.4913,1178.1568,-1755.9410,5641.6779,1184.9600,,,,,,
1,Line,36.8878,170,36.1957,-6.4054,-3.0902,-1639.5800,5621.0859,1175.0666,-1675.7757,5627.4913,1178.1568,,,,,,
1,Line,71.0239,170,69.6548,-12.3266,-6.3771,-1569.9252,5608.7593,1168.6895,-1639.5800,5621.0859,1175.0666,,,,,,
1,Line,2.4166,170,2.3682,-0.4191,-0.2364,-1989.7361,5683.0519,1207.3215,-1992.1043,5683.4710,1207.5580,,,,,,
1,Line,16.6363,170,-16.2841,2.9809,1.6464,-1159.2971,5632.4779,1135.8784,-1143.0130,5629.4970,1134.2320,,,,,,
1,Line,41.8315,140,31.8898,-26.8551,-3.4233,-1111.1232,5634.1590,1131.1074,-1143.0130,5661.0141,1134.5307,,,,,,
1,Line,32.5796,170,-31.8898,5.8376,3.2241,-1143.0130,5629.4970,1134.2320,-1111.1232,5623.6594,1131.0079,,,,,,
1,Line,121.2653,167,-117.5772,27.6875,10.6907,-2224.6554,5739.1864,1229.8703,-2107.0782,5711.4989,1219.1796,,,,,,
1,Line,34.2207,16,32.7013,9.1649,-4.2055,-1723.2397,5635.8909,1205.0749,-1755.9410,5626.7259,1209.2804,,,,,,
1,Line,21.3607,140,16.2841,-13.7132,-1.7481,-1143.0130,5661.0141,1134.5307,-1159.2971,5674.7273,1136.2788,,,,,,
1,Line,95.1699,170,93.3479,-16.5195,-8.4017,-2131.3075,5708.1054,1221.2394,-2224.6554,5724.6249,1229.6411,,,,,,
1,Line,24.7024,170,24.2293,-4.2878,-2.1831,-2107.0782,5703.8176,1219.0563,-2131.3075,5708.1054,1221.2394,,,,,,
1,Line,117.3252,170,114.9739,-20.3466,-11.4983,-1992.1043,5683.4710,1207.5580,-2107.0782,5703.8176,1219.0563,,,,,,
1,Line,29.7715,23,27.1745,11.7281,-3.2159,-1242.0129,5550.7296,1161.1458,-1269.1874,5539.0015,1164.3617,,,,,,
1,Line,83.0144,170,81.3922,-14.4037,-7.6957,-2342.4214,5745.4656,1239.9262,-2423.8136,5759.8694,1247.6218,,,,,,
1,Line,68.8938,170,67.5899,-11.9612,-5.9071,-2274.8315,5733.5044,1234.0191,-2342.4214,5745.4656,1239.9262,,,,,,
1,Line,33.3415,170,-32.7013,5.7871,2.9641,-1755.9410,5641.6779,1208.0390,-1723.2397,5635.8909,1205.0749,,,,,,
1,Line,100.0200,170,-98.0746,17.3560,9.1728,-1854.0156,5659.0339,1217.2118,-1755.9410,5641.6779,1208.0390,,,,,,
1,Line,19.0287,170,-18.6594,3.3021,1.7371,-1872.6750,5662.3360,1218.9490,-1854.0156,5659.0339,1217.2118,,,,,,
1,Line,72.3569,170,-70.8964,12.5463,7.1984,-1594.5340,5613.1142,1192.8371,-1523.6377,5600.5679,1185.6387,,,,,,
1,Line,45.9621,170,-45.0460,7.9717,4.4532,-1639.5800,5621.0859,1197.2903,-1594.5340,5613.1142,1192.8371,,,,,,
1,Line,85.3155,170,-83.6597,14.8050,7.7845,-1723.2397,5635.8909,1205.0749,-1639.5800,5621.0859,1197.2903,,,,,,
