,,,,117,0,0,0.0002,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,
1,Line,,,,,,,159,0,0,0.0007,1.0169,-0.2324,0.3869,0.035,1.0169,-0.2324,0.3592
1,Line,,,,,,,1,0,0,-0.0002,1.0169,-0.2324,0.3799,0.0085,1.0169,-0.2324,0.3869
1,Line,,,,,,,147,0,0,0.0007,1.0169,-0.2324,0.3894,0.0334,1.0169,-0.2324,0.3592
1,Line,,,,,,,2,0,0,0.0002,1.0169,-0.2324,0.2901,0.0079,1.0169,-0.2324,0.2834
1,Line,,,,,,,167,0,0,0.0003,1.0169,-0.2324,0.3213,0.035,1.0169,-0.2324,0.3108
1,Line,,,,,,,164,0,0,0.0004,1.0169,-0.2324,0.3213,0.0334,1.0169,-0.2324,0.3039
1,Line,,,,,,,179,0,0,-0.0002,1.0169,-0.2324,0.3039,0.0085,1.0169,-0.2324,0.3108
1,Line,,,,,,,115,0,0,-0.0002,1.0169,-0.2324,0.3108,0.0085,1.0169,-0.2324,0.3193
1,Line,,,,,,,179,0,0,0,1.0169,-0.2324,0.3894,0.0079,1.0169,-0.2324,0.3877
1,Line,,,,,,,163,0,0,0.0002,1.0169,-0.2324,0.3789,0.0079,1.0169,-0.2324,0.371
1,Line,,,,,,,167,0,0,0,1.0169,-0.2324,0.3213,0.0334,1.0169,-0.2324,0.3193
1,Line,,,,,,,137,0,0,0.0008,1.0169,-0.2324,0.2979,0.0334,1.0169,-0.2324,0.2665
1,Line,,,,,,,71,0,0,-0.0002,1.0169,-0.2324,0.1027,0.023,1.0169,-0.2324,0.1125
1,Line,,,,,,,11,0,0,-0.0001,1.0169,-0.2324,0.1006,0.0081,1.0169,-0.2324,0.1027
1,Line,,,,,,,93,0,0,0.0003,1.0169,-0.2324,0.1125,0.0218,1.0169,-0.2324,0.1006
1,Line,,,,,,,179,0,0,0.0001,1.0169,-0.2324,0.2665,0.0085,1.0169,-0.2324,0.2638
1,Line,,,,,,,1,0,0,-0.0001,1.0169,-0.2324,0.2638,0.0085,1.0169,-0.2324,0.2665
1,Line,,,,,,,90,0,0,0.0008,1.0169,-0.2324,0.2979,0.035,1.0169,-0.2324,0.2638
1,Line,,,,,,,43,0,0,0.0008,1.0169,-0.2324,0.2979,0.0334,1.0169,-0.2324,0.2665
1,Line,,,,,,,178,0,0,0.0002,1.0169,-0.2324,0.3877,0.011,1.0169,-0.2324,0.3789
1,Line,,,,,,,178,0,0,-0.0002,1.0169,-0.2324,0.3193,0.0079,1.0169,-0.2324,0.3261
1,Line,,,,,,,179,0,0,0,1.0169,-0.2324,0.3296,0.0079,1.0169,-0.2324,0.3276
