Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,,,1.3402,,,,,,,,98,-0.0929,0.6736,-0.8978,56.8424,26.2992,13.4695,56.9530,25.4976,14.5378
1,Line,,,,,,,0.5747,,,,,,,,138,-0.2000,0.1817,0.4002,56.7152,25.3587,14.7566,56.9532,25.1424,14.2803
1,Line,,,,,,,0.3517,,,,,,,,30,0.1998,0.1168,-0.1838,56.9530,25.4976,14.5378,56.7152,25.3587,14.7566
1,Line,,,,,,,1.0654,,,,,,,,120,-0.4086,0.7120,-0.3573,56.0978,26.5768,11.2268,56.5840,25.7295,11.6520
1,Line,,,,,,,2.6362,,,,,,,,129,0.8079,-0.9917,1.8086,56.0823,27.3821,12.0994,55.1209,28.5623,9.9471
1,Line,,,,,,,0.2562,,,,,,,,90,0.0000,0.2118,0.0391,56.0823,27.6341,12.1459,56.0823,27.3821,12.0994
1,Line,,,,,,,0.7199,,,,,,,,103,0.1132,-0.4902,-0.3360,56.7188,25.1462,11.2522,56.5840,25.7295,11.6520
1,Line,,,,,,,0.8313,,,,,,,,120,-0.1015,0.1739,-0.6689,56.7188,25.1462,11.2522,56.8396,24.9392,12.0482
1,Line,,,,,,,0.5474,,,,,,,,104,0.1005,-0.4117,0.1787,56.8384,24.6562,11.4648,56.7188,25.1462,11.2522
1,Line,,,,,,,0.9203,,,,,,,,108,-0.2147,0.6641,-0.3330,56.5840,25.7295,11.6520,56.8396,24.9392,12.0482
1,Line,,,,,,,0.6212,,,,,,,,90,-0.0001,0.4224,0.3067,56.0823,27.3821,12.0994,56.0825,26.8794,11.7344
1,Line,,,,,,,0.9452,,,,,,,,136,0.4069,-0.3890,0.5603,56.5906,26.4175,12.4708,56.1064,26.8804,11.8040
1,Line,,,,,,,1.0790,,,,,,,,118,-0.4070,0.7547,-0.2949,56.1062,27.3156,12.1199,56.5906,26.4175,12.4708
1,Line,,,,,,,0.5029,,,,,,,,90,0.0001,0.3418,0.2485,56.5907,26.8243,12.7664,56.5906,26.4175,12.4708
1,Line,,,,,,,0.5377,,,,,,,,90,-0.0001,0.3657,0.2655,56.1062,27.3156,12.1199,56.1064,26.8804,11.8040
1,Line,,,,,,,0.5826,,,,,,,,87,0.0200,0.3665,0.3239,56.1062,27.3156,12.1199,56.0825,26.8794,11.7344
1,Line,,,,,,,0.0736,,,,,,,,110,-0.0201,0.0559,-0.0172,56.0823,27.3821,12.0994,56.1062,27.3156,12.1199
1,Line,,,,,,,0.0736,,,,,,,,2,0.0201,0.0009,0.0585,56.1064,26.8804,11.8040,56.0825,26.8794,11.7344
1,Line,,,,,,,1.3960,,,,,,,,90,0.0000,-1.1731,-0.0023,56.0926,27.8691,7.8148,56.0926,29.2651,7.8175
1,Line,,,,,,,2.6427,,,,,,,,165,-2.1315,0.5717,0.2486,53.5562,28.5494,8.1106,56.0926,27.8691,7.8148
1,Line,,,,,,,1.3951,,,,,,,,90,-0.0001,-0.9504,0.6864,56.0924,26.7381,8.6316,56.0926,27.8691,7.8148
1,Line,,,,,,,2.6517,,,,,,,,16,-2.1315,-0.6014,0.2462,53.5562,28.5494,8.1106,56.0926,29.2651,7.8175
1,Line,,,,,,,2.6421,,,,,,,,2,-2.1313,-0.0602,0.6194,53.5562,30.3211,9.3759,56.0924,30.3928,8.6388
1,Line,,,,,,,1.3951,,,,,,,,90,0.0001,-0.9476,-0.6901,56.0926,29.2651,7.8175,56.0924,30.3928,8.6388
1,Line,,,,,,,3.1586,,,,,,,,157,-2.1314,0.8874,1.3095,53.5562,30.3211,9.3759,56.0926,29.2651,7.8175
1,Line,,,,,,,3.1599,,,,,,,,144,-2.1313,1.5221,-0.4378,53.5562,28.5494,8.1106,56.0924,26.7381,8.6316
1,Line,,,,,,,0.1901,,,,,,,,85,0.0095,0.1102,0.1153,56.7304,30.6903,7.0175,56.7190,30.5592,6.8803
1,Line,,,,,,,0.4352,,,,,,,,173,0.3571,-0.0462,0.0637,57.1554,30.6353,7.0934,56.7304,30.6903,7.0175
1,Line,,,,,,,0.4915,,,,,,,,170,0.3667,-0.0639,0.1790,57.1554,26.4905,7.0934,56.7190,26.5665,6.8803
1,Line,,,,,,,0.4459,,,,,,,,166,-0.3616,0.0914,-0.0368,56.7190,30.5592,6.8803,57.1493,30.4505,6.9241
1,rim_wheel_,54.3303,28.5629,9.9457,1.1900,1.1900,1.1900,,,,,,,,,,,,,,,,,,
1,Line,,,,,,,0.4915,,,,,,,,10,0.3667,0.0639,0.1790,57.1554,30.6353,7.0934,56.7190,30.5592,6.8803
1,Line,,,,,,,0.2506,,,,,,,,88,-0.0051,-0.1553,-0.1422,57.1493,30.4505,6.9241,57.1554,30.6353,7.0934
1,Line,,,,,,,1.3951,,,,,,,,90,-0.0001,0.9478,0.6901,56.0926,27.8606,12.1029,56.0927,26.7327,11.2817
1,Line,,,,,,,2.6424,,,,,,,,8,-2.1314,-0.3160,-0.5367,53.5562,27.4846,11.4643,56.0926,27.8606,12.1029
1,Line,,,,,,,1.3962,,,,,,,,90,0.0000,1.1733,0.0023,56.0926,29.2568,12.1057,56.0926,27.8606,12.1029
1,Line,,,,,,,2.6518,,,,,,,,163,-2.1314,0.6318,0.1534,53.5562,27.4846,11.4643,56.0927,26.7327,11.2817
1,Line,,,,,,,0.6824,,,,,,,,6,-0.5704,-0.0585,0.0096,56.0364,24.9079,14.4910,56.7152,24.9776,14.4796
1,Line,,,,,,,3.1579,,,,,,,,179,-2.1314,0.0535,-1.5800,53.5563,26.7964,9.4015,56.0927,26.7327,11.2817
1,Line,,,,,,,1.3935,,,,,,,,90,0.0002,0.3602,1.1142,56.0927,26.7327,11.2817,56.0924,26.3041,9.9558
1,Line,,,,,,,3.1599,,,,,,,,35,-2.1314,-1.4892,-0.5390,53.5562,27.4846,11.4643,56.0926,29.2568,12.1057
1,Line,,,,,,,3.1586,,,,,,,,25,-2.1313,-0.9736,1.2470,53.5562,29.6630,11.4485,56.0924,30.8216,9.9646
1,Line,,,,,,,2.6513,,,,,,,,11,-2.1313,-0.4206,-0.4947,53.5562,30.3211,9.3759,56.0924,30.8216,9.9646
1,Line,,,,,,,1.3934,,,,,,,,90,0.0000,-0.3604,-1.1141,56.0924,30.3928,8.6388,56.0924,30.8216,9.9646
1,Line,,,,,,,1.3935,,,,,,,,90,-0.0001,0.3645,-1.1128,56.0924,30.8216,9.9646,56.0926,30.3878,11.2889
1,Line,,,,,,,2.6514,,,,,,,,171,-2.1314,0.3414,-0.5522,53.5562,29.6630,11.4485,56.0926,29.2568,12.1057
1,Line,,,,,,,1.3952,,,,,,,,90,0.0000,0.9505,-0.6864,56.0926,30.3878,11.2889,56.0926,29.2568,12.1057
1,Line,,,,,,,2.6428,,,,,,,,16,-2.1314,-0.6091,0.1342,53.5562,29.6630,11.4485,56.0926,30.3878,11.2889
1,Line,,,,,,,0.6484,,,,,,,,90,-0.0010,-0.2378,-0.4903,56.8384,24.6562,11.4648,56.8396,24.9392,12.0482
1,Line,,,,,,,0.9456,,,,,,,,45,0.4071,0.4129,0.5433,56.5907,30.3015,12.7664,56.1062,29.8102,12.1199
1,Line,,,,,,,1.0789,,,,,,,,7,-0.4070,-0.0472,-0.8088,56.1064,30.2453,11.8040,56.5907,30.3015,12.7664
1,Line,,,,,,,0.5029,,,,,,,,90,-0.0001,0.3418,-0.2485,56.5906,30.7082,12.4708,56.5907,30.3015,12.7664
1,Line,,,,,,,0.5377,,,,,,,,90,0.0001,0.3657,-0.2655,56.1064,30.2453,11.8040,56.1062,29.8102,12.1199
