Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,,,,,,,,102,0.0022,-0.0100,0.0391,4.7989,0.0076,0.0602,0.0404,4.7967,0.0176,0.0211
1,Line,,,,,,,,,,,,,,90,0.0000,-0.2300,0.0000,4.7186,0.0826,0.1142,0.2300,4.7186,0.3126,0.1142
1,Line,,,,,,,,,,,,,,90,0.0000,0.2350,0.0000,4.5391,0.2726,0.7325,0.2350,4.5391,0.0376,0.7325
1,Line,,,,,,,,,,,,,,90,0.0000,0.2350,0.0000,4.5059,0.2726,0.1394,0.2350,4.5059,0.0376,0.1394
1,Line,,,,,,,,,,,,,,90,0.0000,0.2350,0.0000,4.4079,0.2726,0.3335,0.2350,4.4079,0.0376,0.3335
1,Line,,,,,,,,,,,,,,90,0.0000,0.2350,0.0000,4.4200,0.2726,0.5506,0.2350,4.4200,0.0376,0.5506
1,Line,,,,,,,,,,,,,,90,0.0000,0.2350,0.0000,4.3996,0.2726,0.4428,0.2350,4.3996,0.0376,0.4428
1,Line,,,,,,,,,,,,,,90,0.0000,0.2350,0.0000,4.4676,0.2726,0.6494,0.2350,4.4676,0.0376,0.6494
1,Line,,,,,,,,,,,,,,90,0.0000,0.2350,0.0000,4.4441,0.2726,0.2300,0.2350,4.4441,0.0376,0.2300
1,Circle,0.2327,1.0690,2.2384,0.4193,1.7100,0.5443,0.2722,,,,,,,,,,,,,,,,,
1,Line,,,,,,,,,,,,,,176,-0.2006,0.0142,0.0112,1.0690,2.2526,0.4193,0.2014,1.2696,2.2384,0.4081
1,Line,,,,,,,,,,,,,,176,-0.1909,0.0142,0.0628,1.0690,2.2526,0.4193,0.2014,1.2598,2.2384,0.3566
1,Group_4,,,,,,,,0.6496,1.9434,0.0000,1.0000,1.0000,1.0000,,,,,,,,,,,
1,Circle,0.1268,1.0690,2.2384,0.4193,1.2624,0.4018,0.2009,,,,,,,,,,,,,,,,,
1,Line,,,,,,,,,,,,,,176,-0.1967,0.0142,-0.0411,1.0690,2.2526,0.4193,0.2014,1.2657,2.2384,0.4604
1,Line,,,,,,,,,,,,,,60,-0.0116,-0.0200,-0.0177,5.0374,0.0176,0.7531,0.0291,5.0490,0.0376,0.7708
1,Line,,,,,,,,,,,,,,72,-0.0066,-0.0200,-0.0200,4.9436,0.0176,0.7983,0.0291,4.9502,0.0376,0.8183
1,Line,,,,,,,,,,,,,,87,-0.0012,-0.0200,-0.0211,4.8413,0.0176,0.8176,0.0291,4.8425,0.0376,0.8387
1,Line,,,,,,,,,,,,,,44,-0.0207,-0.0200,-0.0043,5.2095,0.0176,0.5009,0.0291,5.2301,0.0376,0.5052
1,Line,,,,,,,,,,,,,,47,-0.0188,-0.0200,-0.0095,5.1751,0.0176,0.5992,0.0291,5.1939,0.0376,0.6087
1,Line,,,,,,,,,,,,,,52,-0.0157,-0.0200,-0.0141,5.1164,0.0176,0.6852,0.0291,5.1321,0.0376,0.6993
1,Line,,,,,,,,,,,,,,102,0.0043,-0.0200,-0.0207,4.7375,0.0176,0.8098,0.0291,4.7331,0.0376,0.8305
1,Line,,,,,,,,,,,,,,135,0.0200,-0.0200,-0.0066,4.4401,0.0176,0.5440,0.0291,4.4200,0.0376,0.5506
1,Line,,,,,,,,,,,,,,136,0.0211,-0.0200,-0.0012,4.4207,0.0176,0.4416,0.0291,4.3996,0.0376,0.4428
1,Circle,0.5542,4.8190,0.0376,0.4193,2.6389,0.8400,0.4200,,,,,,,,,,,,,,,,,
1,Line,,,,,,,,,,,,,,115,0.0095,-0.0200,-0.0188,4.6392,0.0176,0.7754,0.0291,4.6297,0.0376,0.7942
1,Line,,,,,,,,,,,,,,125,0.0141,-0.0200,-0.0157,4.5531,0.0176,0.7167,0.0291,4.5391,0.0376,0.7325
1,Line,,,,,,,,,,,,,,131,0.0177,-0.0200,-0.0116,4.4852,0.0176,0.6378,0.0291,4.4676,0.0376,0.6494
1,Line,,,,,,,,,,,,,,175,-0.1681,0.0142,0.1100,1.0690,2.2526,0.4193,0.2014,1.2371,2.2384,0.3093
