Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Circumference,Diameter,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Position X1,Position Y1,Position Z1
1,Line,0.2032,,,,,,,,,,,,,,,,174,-16.3103,1.6768,0.7711,1.1330,4.8039,0.8372,1.3349,4.7831,0.8277,,,
1,Line,0.2506,,,,,,,,,,,,,,,,2,19.6706,0.7473,-4.7190,1.1941,4.8057,0.7343,0.9506,4.7964,0.7927,,,
1,Line,0.1042,,,,,,,,,,,,,,,,11,5.4169,1.0017,-6.3610,1.1941,4.8057,0.7343,1.1271,4.7933,0.8130,,,
1,Line,0.0592,,,,,,,,,,,,,,,,90,0.0000,0.7473,-4.7190,0.9054,4.8057,0.7343,0.9054,4.7964,0.7927,,,
1,Line,0.2302,,,,,,,,,,,,,,,,4,18.3815,1.1773,-2.5180,1.1330,4.8129,0.8188,0.9054,4.7983,0.8499,,,
1,Line,0.2280,,,,,,,,,,,,,,,,1,-18.3815,-0.4486,1.0275,0.9054,4.7983,0.8499,1.1330,4.8039,0.8372,,,
1,Line,0.2188,,,,,,,,,,,,,,,,111,-6.2095,16.5421,0.0000,1.7071,4.6217,0.9011,1.7840,4.4169,0.9011,,,
1,Line,0.0266,,,,,,,,,,,,,,,,162,-1.4622,0.4566,-1.5084,0.9506,4.7964,0.7927,0.9687,4.7908,0.8113,,,
1,Line,0.0328,,,,,,,,,,,,,,,,29,1.5666,0.8834,1.9504,0.9700,4.8074,0.8168,0.9506,4.7964,0.7927,,,
1,Line,0.0189,,,,,,,,,,,,,,,,81,-0.2262,-1.4094,-0.5320,1.3223,4.7717,0.8028,1.3251,4.7891,0.8094,,,
1,Line,0.0213,,,,,,,,,,,,,,,,73,0.4760,1.5864,0.4652,1.1330,4.8129,0.8188,1.1271,4.7933,0.8130,,,
1,Line,0.1967,,,,,,,,,,,,,,,,174,-15.7725,1.7465,0.8233,1.1271,4.7933,0.8130,1.3223,4.7717,0.8028,,,
1,Line,0.0942,,,,,,,,,,,,,,,,31,-4.5071,-2.6286,5.5377,1.3223,4.7717,0.8028,1.3781,4.8042,0.7343,,,
1,Line,0.0843,,,,,,,,,,,,,,,,20,-3.7434,-1.2886,5.5377,1.3223,4.7717,0.8028,1.3687,4.7876,0.7343,,,
1,Line,0.0170,,,,,,,,,,,,,,,,87,0.0745,1.3400,0.2743,0.9515,4.8130,0.7961,0.9506,4.7964,0.7927,,,
1,Line,0.0175,,,,,,,,,,,,,,,,86,0.1044,1.3400,0.4419,0.9700,4.8074,0.8168,0.9687,4.7908,0.8113,,,
1,Line,0.0284,,,,,,,,,,,,,,,,163,-1.4921,0.4566,-1.6761,0.9515,4.8130,0.7961,0.9700,4.8074,0.8168,,,
1,Line,0.1981,,,,,,,,,,,,,,,,179,-15.9987,0.3371,0.2913,1.1271,4.7933,0.8130,1.3251,4.7891,0.8094,,,
1,Line,0.0428,,,,,,,,,,,,,,,,90,0.0000,0.9086,-3.3355,1.5562,4.7861,0.7343,1.5562,4.7749,0.7755,,,
1,Line,0.0932,,,,,,,,,,,,,,,,16,-4.2810,-1.2191,6.0697,1.3251,4.7891,0.8094,1.3781,4.8042,0.7343,,,
1,Line,0.0428,,,,,,,,,,,,,,,,90,0.0000,0.9086,-3.3355,1.6025,4.7609,0.7343,1.6025,4.7496,0.7755,,,
1,Line,0.0428,,,,,,,,,,,,,,,,90,0.0000,0.9086,-3.3355,1.7071,4.6741,0.7343,1.7071,4.6629,0.7755,,,
1,Line,0.0428,,,,,,,,,,,,,,,,90,0.0000,0.9086,-3.3355,1.6487,4.7356,0.7343,1.6487,4.7244,0.7755,,,
1,Line,0.1635,,,,,,,,,,,,,,,,174,13.1421,-1.3334,0.0000,1.3627,4.7603,0.9011,1.2000,4.7768,0.9011,,,
1,Line,0.1939,,,,,,,,,,,,,,,,173,-15.5227,1.9235,0.7565,1.1330,4.8129,0.8188,1.3251,4.7891,0.8094,,,
1,Line,0.0400,,,,,,,,,,,,,,,,174,3.2167,-0.3264,0.0000,1.4025,4.7563,0.9011,1.3627,4.7603,0.9011,,,
1,Line,0.0216,,,,,,,,,,,,,,,,148,0.7876,-0.4819,1.4759,1.3349,4.7831,0.8277,1.3251,4.7891,0.8094,,,
1,Line,0.0818,,,,,,,,,,,,,,,,140,2.2487,-1.8438,5.9310,1.3627,4.7603,0.9011,1.3349,4.7831,0.8277,,,
1,Line,0.1015,,,,,,,,,,,,,,,,90,0.0000,3.5623,-7.3804,1.7071,4.6217,0.9011,1.7071,4.5776,0.9925,,,
