Count,Name,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,90,0.0000,1.8265,-0.1989,394.1215,-243.8127,1.7744,1.8373,394.1215,-245.6392,1.9733,,,,,,
1,Line,180,-1.7323,0.0000,0.0000,392.3892,-244.1281,15.8470,1.7323,394.1215,-244.1281,15.8470,,,,,,
1,Line,90,0.0000,1.8158,0.2806,394.1215,-244.1281,15.8470,1.8373,394.1215,-245.9438,15.5665,,,,,,
1,Line,180,-1.7323,0.0000,0.0000,392.3892,-242.3015,15.6481,1.7323,394.1215,-242.3015,15.6481,,,,,,
1,Line,90,0.0000,1.8265,-0.1989,394.1215,-242.3015,15.6481,1.8373,394.1215,-244.1281,15.8470,,,,,,
1,Line,0,1.7323,0.0000,0.0000,394.1215,-243.8127,1.7744,1.7323,392.3892,-243.8127,1.7744,,,,,,
1,Line,90,0.0000,0.6649,1.7128,394.1215,-237.1330,7.1419,1.8373,394.1215,-237.7979,5.4291,,,,,,
1,Line,90,0.0000,0.7410,-1.6813,394.1215,-237.2146,10.7841,1.8373,394.1215,-237.9556,12.4654,,,,,,
1,Line,180,-1.7323,0.0000,0.0000,392.3892,-237.2146,10.7841,1.7323,394.1215,-237.2146,10.7841,,,,,,
1,Line,90,0.0000,0.2806,-1.8158,394.1215,-236.9340,8.9684,1.8373,394.1215,-237.2146,10.7841,,,,,,
1,Line,180,-1.7323,0.0000,0.0000,392.3892,-236.9340,8.9684,1.7323,394.1215,-236.9340,8.9684,,,,,,
1,Line,0,1.7323,0.0000,0.0000,394.1215,-237.1330,7.1419,1.7323,392.3892,-237.1330,7.1419,,,,,,
1,Line,0,1.7323,0.0000,0.0000,394.1215,-237.7979,5.4291,1.7323,392.3892,-237.7979,5.4291,,,,,,
1,Line,0,1.7323,0.0000,0.0000,394.1215,-238.8834,3.9468,1.7323,392.3892,-238.8834,3.9468,,,,,,
1,Line,90,0.0000,1.4322,1.1509,394.1215,-238.8834,3.9468,1.8373,394.1215,-240.3157,2.7959,,,,,,
1,Line,180,-1.7323,0.0000,0.0000,392.3892,-239.1064,13.8976,1.7323,394.1215,-239.1064,13.8976,,,,,,
1,Line,90,0.0000,1.0855,1.4823,394.1215,-237.7979,5.4291,1.8373,394.1215,-238.8834,3.9468,,,,,,
1,Line,90,0.0000,1.1509,-1.4322,394.1215,-237.9556,12.4654,1.8373,394.1215,-239.1064,13.8976,,,,,,
1,Line,180,-1.7323,0.0000,0.0000,392.3892,-237.9556,12.4654,1.7323,394.1215,-237.9556,12.4654,,,,,,
1,Line,90,0.0000,0.1989,1.8265,394.1215,-250.8078,10.4795,1.8373,394.1215,-251.0067,8.6530,,,,,,
1,Line,0,1.7323,0.0000,0.0000,394.1215,-251.0067,8.6530,1.7323,392.3892,-251.0067,8.6530,,,,,,
1,Line,90,0.0000,0.6649,1.7128,394.1215,-250.1429,12.1923,1.8373,394.1215,-250.8078,10.4795,,,,,,
1,Line,0,1.7323,0.0000,0.0000,394.1215,-249.9852,5.1560,1.7323,392.3892,-249.9852,5.1560,,,,,,
1,Line,90,0.0000,-0.2806,1.8158,394.1215,-251.0067,8.6530,1.8373,394.1215,-250.7261,6.8373,,,,,,
1,Line,0,1.7323,0.0000,0.0000,394.1215,-250.7261,6.8373,1.7323,392.3892,-250.7261,6.8373,,,,,,
1,Line,0,1.7323,0.0000,0.0000,394.1215,-250.8078,10.4795,1.7323,392.3892,-250.8078,10.4795,,,,,,
1,Line,90,0.0000,-0.6649,-1.7128,392.3892,-237.7979,5.4291,1.8373,392.3892,-237.1330,7.1419,,,,,,
1,Line,90,0.0000,0.7410,-1.6813,392.3892,-237.2146,10.7841,1.8373,392.3892,-237.9556,12.4654,,,,,,
1,Line,90,0.0000,-1.0855,-1.4823,392.3892,-238.8834,3.9468,1.8373,392.3892,-237.7979,5.4291,,,,,,
1,Line,180,-1.7323,0.0000,0.0000,392.3892,-250.1429,12.1923,1.7323,394.1215,-250.1429,12.1923,,,,,,
1,Line,90,0.0000,-0.1989,-1.8265,392.3892,-237.1330,7.1419,1.8373,392.3892,-236.9340,8.9684,,,,,,
1,Line,90,0.0000,0.2806,-1.8158,392.3892,-236.9340,8.9684,1.8373,392.3892,-237.2146,10.7841,,,,,,
1,Line,90,0.0000,1.7128,-0.6649,394.1215,-245.6392,1.9733,1.8373,394.1215,-247.3520,2.6382,,,,,,
1,Line,90,0.0000,-1.6813,-0.7410,394.1215,-247.6251,14.8255,1.8373,394.1215,-245.9438,15.5665,,,,,,
1,Line,90,0.0000,-1.4322,-1.1509,394.1215,-249.0573,13.6747,1.8373,394.1215,-247.6251,14.8255,,,,,,
1,Line,180,-1.7323,0.0000,0.0000,392.3892,-245.9438,15.5665,1.7323,394.1215,-245.9438,15.5665,,,,,,
1,Line,0,1.7323,0.0000,0.0000,394.1215,-247.6251,14.8255,1.7323,392.3892,-247.6251,14.8255,,,,,,
1,Line,0,1.7323,0.0000,0.0000,394.1215,-245.6392,1.9733,1.7323,392.3892,-245.6392,1.9733,,,,,,
1,Line,90,0.0000,1.0855,1.4823,394.1215,-249.0573,13.6747,1.8373,394.1215,-250.1429,12.1923,,,,,,
1,Line,90,0.0000,-1.1509,1.4322,394.1215,-249.9852,5.1560,1.8373,394.1215,-248.8343,3.7238,,,,,,
1,Line,0,1.7323,0.0000,0.0000,394.1215,-248.8343,3.7238,1.7323,392.3892,-248.8343,3.7238,,,,,,
1,Line,90,0.0000,-0.7410,1.6813,394.1215,-250.7261,6.8373,1.8373,394.1215,-249.9852,5.1560,,,,,,
