Count,Name,Length,Area,Center X,Center Y,Center Z,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,1.9597,,,,,,,,90,0.0000,1.9597,0.0000,-1.9817,121.8998,-1.0782,-1.9817,119.9401,-1.0782
1,Line,2.0170,,,,,,,,0,2.0170,0.0000,0.0000,-5.0047,67.8311,-0.0492,-7.0217,67.8311,-0.0492
1,Line,6.1524,,,,,,,,90,0.0055,6.1523,0.0000,-7.0126,128.0422,-1.0782,-7.0181,121.8899,-1.0782
1,Line,15.0127,,,,,,,,250,-5.0400,-14.1414,0.0000,-7.0217,117.9029,-0.0492,-1.9817,132.0443,-0.0492
1,Line,2.0010,,,,,,,,180,-2.0010,-0.0068,0.0000,-3.9826,67.8414,-1.0782,-1.9817,67.8482,-1.0782
1,Line,1.0290,,,,,,,,0,0.0000,0.0000,1.0290,-1.9817,132.0443,-0.0492,-1.9817,132.0443,-1.0782
1,Line,14.1414,,,,,,,,270,0.0000,-14.1414,0.0000,-1.9817,117.9029,-0.0492,-1.9817,132.0443,-0.0492
1,Line,1.2780,,,,,,,,180,-1.2780,0.0000,0.0000,-7.0217,82.8300,-0.0492,-5.7437,82.8300,-0.0492
1,Line,3.0340,,,,,,,,180,-0.0023,0.0000,-3.0340,-9.0321,113.0113,1.9018,-9.0298,113.0113,4.9358
1,Line,3.1030,,,,,,,,270,0.0000,-3.1030,0.0000,-9.0602,72.9454,4.9358,-9.0602,76.0484,4.9358
1,Line,14.9869,,,,,,,,270,0.0000,-14.9869,0.0000,-1.9817,67.8482,-0.0492,-1.9817,82.8351,-0.0492
1,Arc,2.7772,1.2275,-1.9817,129.0161,-1.0782,0.8840,180,180,,,,,,,,,,
1,Line,1.9398,,,,,,,,90,0.0017,1.9398,0.0000,-7.0181,121.8899,-1.0782,-7.0198,119.9500,-1.0782
1,Line,3.3007,,,,,,,,270,-0.0025,-3.3007,0.0000,-7.0242,127.7305,8.9728,-7.0217,131.0311,8.9728
1,Arc,3.0913,1.5209,-1.9817,120.9199,-1.0782,0.9840,0,180,,,,,,,,,,
1,3D Polyline,3.0637,,,,,,,,,,,,,,,,,
1,3D Polyline,3.0637,,,,,,,,,,,,,,,,,
1,Line,1.0290,,,,,,,,0,0.0000,0.0000,-1.0290,-1.9817,67.8482,-1.0782,-1.9817,67.8482,-0.0492
1,Line,2.0170,,,,,,,,0,2.0170,0.0068,0.0000,-5.0047,67.8380,-0.0492,-7.0217,67.8311,-0.0492
1,Line,3.0336,,,,,,,,90,0.0000,3.0336,0.0000,-1.9817,70.8818,-1.0782,-1.9817,67.8482,-1.0782
1,Line,0.0707,,,,,,,,0,0.0000,0.0000,-0.0707,-1.9817,132.0443,-1.1489,-1.9817,132.0443,-1.0782
1,Line,0.0051,,,,,,,,90,0.0000,0.0051,0.0000,0.0873,82.8351,-0.0492,0.0873,82.8300,-0.0492
1,Line,3.1030,,,,,,,,270,-0.0024,-3.1030,0.0000,-9.0625,72.9454,4.9358,-9.0602,76.0484,4.9358
1,Line,3.1030,,,,,,,,90,0.0024,3.1030,0.0000,-9.0602,76.0484,1.8328,-9.0625,72.9454,1.8328
1,Line,2.0522,,,,,,,,270,0.0000,-2.0522,0.0000,0.0873,131.0311,6.9728,0.0873,133.0833,6.9728
1,Line,2.9910,,,,,,,,90,0.0000,2.9910,0.0000,0.0873,131.0683,1.9988,0.0873,128.0773,1.9988
1,Line,3.1030,,,,,,,,0,0.0000,0.0000,-3.1030,-9.0625,72.9454,1.8328,-9.0625,72.9454,4.9358
1,Line,15.1804,,,,,,,,90,0.0000,15.1804,0.0000,0.0873,133.0833,-0.0492,0.0873,117.9029,-0.0492
1,Line,2.9480,,,,,,,,0,0.0000,0.0000,-2.9480,0.0873,128.0773,1.9988,0.0873,128.0773,4.9468
1,Line,2.9480,,,,,,,,0,0.0000,0.0000,2.9480,0.0873,131.0683,4.9468,0.0873,131.0683,1.9988
1,Line,3.1030,,,,,,,,0,0.0000,0.0000,3.1030,-9.0602,76.0484,4.9358,-9.0602,76.0484,1.8328
1,Line,2.8656,,,,,,,,90,0.0000,2.0522,-2.0000,-1.9817,133.0833,6.9728,-1.9817,131.0311,8.9728
1,Line,1.9621,,,,,,,,90,0.0000,1.9621,0.0000,-1.9817,72.8439,-1.0782,-1.9817,70.8818,-1.0782
1,Arc,3.0693,1.4994,-7.0217,71.8629,-1.0782,0.9770,180,180,,,,,,,,,,
1,Line,2.8656,,,,,,,,90,0.0000,2.0522,-2.0000,-7.0217,133.0833,6.9728,-7.0217,131.0311,8.9728
1,Arc,3.0945,1.5240,-1.9817,71.8629,-1.0782,0.9850,180,180,,,,,,,,,,
1,Line,2.0000,,,,,,,,0,0.0000,0.0000,2.0000,-1.9817,69.8571,8.9728,-1.9817,69.8571,6.9728
1,Line,2.0000,,,,,,,,0,0.0000,0.0000,2.0000,-1.9817,131.0311,8.9728,-1.9817,131.0311,6.9728
1,Line,3.1030,,,,,,,,0,0.0024,0.0000,3.1030,-9.0602,76.0484,4.9358,-9.0625,76.0484,1.8328
1,Line,3.1030,,,,,,,,90,0.0000,3.1030,0.0000,-9.0625,76.0484,1.8328,-9.0625,72.9454,1.8328
1,Line,3.0340,,,,,,,,0,0.0000,0.0000,-3.0340,-9.0298,116.0453,1.9018,-9.0298,116.0453,4.9358
1,Line,3.0050,,,,,,,,0,0.0000,0.0000,3.0050,-9.0488,91.0773,4.9358,-9.0488,91.0773,1.9308
1,Line,3.0060,,,,,,,,270,-0.0023,-3.0060,0.0000,-9.0397,103.0383,4.9358,-9.0374,106.0443,4.9358
1,Line,3.0340,,,,,,,,270,-0.0023,-3.0340,0.0000,-9.0321,113.0113,1.9018,-9.0298,116.0453,1.9018
1,Line,3.0980,,,,,,,,90,0.0024,3.0980,0.0000,-9.0336,111.0723,4.9358,-9.0359,107.9743,4.9358
1,Line,3.0340,,,,,,,,90,0.0023,3.0340,0.0000,-9.0298,116.0453,4.9358,-9.0321,113.0113,4.9358
1,Line,2.9520,,,,,,,,270,-0.0022,-2.9520,0.0000,-9.0586,78.0934,1.9838,-9.0564,81.0454,1.9838
1,Line,2.9520,,,,,,,,0,0.0000,0.0000,2.9520,-9.0586,78.0934,4.9358,-9.0586,78.0934,1.9838
1,Line,3.0070,,,,,,,,0,0.0000,0.0000,-3.0070,-9.0412,101.0483,1.9288,-9.0412,101.0483,4.9358
1,Line,3.0070,,,,,,,,90,0.0023,3.0070,0.0000,-9.0412,101.0483,4.9358,-9.0435,98.0413,4.9358
1,Line,3.0340,,,,,,,,233,0.0000,0.0000,3.0340,-9.0321,113.0113,4.9358,-9.0321,113.0113,1.9018
1,Line,3.0050,,,,,,,,0,0.0000,0.0000,-3.0050,-9.0510,88.0723,1.9308,-9.0510,88.0723,4.9358
1,Line,3.0060,,,,,,,,0,0.0000,0.0000,3.0060,-9.0374,106.0443,4.9358,-9.0374,106.0443,1.9298
1,Line,3.0060,,,,,,,,90,0.0023,3.0060,0.0000,-9.0374,106.0443,1.9298,-9.0397,103.0383,1.9298
1,Line,3.0050,,,,,,,,90,0.0023,3.0050,0.0000,-9.0488,91.0773,1.9308,-9.0510,88.0723,1.9308
1,Line,3.0050,,,,,,,,270,-0.0023,-3.0050,0.0000,-9.0510,88.0723,4.9358,-9.0488,91.0773,4.9358
1,Line,3.0980,,,,,,,,270,-0.0024,-3.0980,0.0000,-9.0359,107.9743,1.8378,-9.0336,111.0723,1.8378
1,Line,3.0980,,,,,,,,0,0.0000,0.0000,3.0980,-9.0359,107.9743,4.9358,-9.0359,107.9743,1.8378
1,Line,3.0060,,,,,,,,0,0.0000,0.0000,-3.0060,-9.0397,103.0383,1.9298,-9.0397,103.0383,4.9358
1,Line,3.0980,,,,,,,,0,0.0000,0.0000,-3.0980,-9.0336,111.0723,1.8378,-9.0336,111.0723,4.9358
1,Line,3.0050,,,,,,,,0,0.0023,0.0000,3.0050,-9.0488,91.0773,4.9358,-9.0510,91.0773,1.9308
1,Line,3.0050,,,,,,,,90,0.0000,3.0050,0.0000,-9.0510,91.0773,1.9308,-9.0510,88.0723,1.9308
1,Line,2.0494,,,,,,,,90,0.0000,2.0494,0.0000,-1.9817,82.8300,-1.0782,-1.9817,80.7806,-1.0782
1,Line,3.0050,,,,,,,,270,0.0000,-3.0050,0.0000,-9.0488,88.0723,4.9358,-9.0488,91.0773,4.9358
1,Line,3.0050,,,,,,,,180,-0.0023,0.0000,-3.0050,-9.0510,88.0723,1.9308,-9.0488,88.0723,4.9358
1,Line,2.0010,,,,,,,,0,2.0010,0.0068,0.0000,-1.9817,67.8482,-0.0492,-3.9826,67.8414,-0.0492
1,Line,3.3007,,,,,,,,270,-0.0025,-3.3007,0.0000,-7.0242,127.7305,6.9728,-7.0217,131.0311,6.9728
1,Line,1.0290,,,,,,,,0,0.0000,0.0000,-1.0290,-5.0047,67.8380,-1.0782,-5.0047,67.8380,-0.0492
1,Line,0.0053,,,,,,,,0,0.0053,0.0000,0.0000,-4.9994,67.8380,-0.0492,-5.0047,67.8380,-0.0492
