Count,Name,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z
1,Line,,,,,,,90,-0.0001,5.5031,0.0000,-13.8786,43.8174,9.8551,5.5031,-13.8785,38.3143,9.8551
1,Line,,,,,,,149,-1.0964,0.6585,1.2887,-13.8787,47.9484,9.8551,1.8156,-12.7823,47.2899,8.5665
1,Line,,,,,,,179,-1.0964,0.0096,1.2887,-13.8787,47.9484,9.8551,1.6920,-12.7824,47.9388,8.5665
1,Line,,,,,,,90,0.0001,-2.6661,0.0000,-13.8786,43.8174,9.8551,2.6661,-13.8787,46.4835,9.8551
1,Line,,,,,,,0,1.0964,0.0000,-1.2887,-12.7821,38.4048,8.5665,1.6919,-13.8785,38.4047,9.8551
1,Line,,,,,,,106,-1.0965,3.8648,1.2887,-13.8786,42.2695,9.8551,4.2189,-12.7821,38.4048,8.5665
1,Line,,,,,,,113,-1.0964,2.6323,1.2887,-13.8786,42.2695,9.8551,3.1292,-12.7821,39.6372,8.5665
1,Line,,,,,,,90,0.0000,-1.3999,0.0000,-13.8785,40.8696,9.8551,1.3999,-13.8786,42.2695,9.8551
1,Line,,,,,,,90,0.0001,-2.4649,0.0000,-13.8785,38.4047,9.8551,2.4649,-13.8785,40.8696,9.8551
1,Line,,,,,,,90,-0.0001,3.8648,0.0000,-13.8786,42.2695,9.8551,3.8648,-13.8785,38.4047,9.8551
1,Line,,,,,,,90,-0.0002,-2.6564,1.0174,-12.7823,43.8271,8.5665,2.8446,-12.7820,46.4835,7.5490
1,Line,,,,,,,92,0.0003,-0.0097,-1.0174,-12.7820,43.8174,7.5490,1.0175,-12.7823,43.8271,8.5665
1,Line,,,,,,,90,-0.0001,2.6661,0.0000,-12.7820,46.4835,7.5490,2.6661,-12.7820,43.8174,7.5490
1,Line,,,,,,,90,0.0003,1.4553,-1.0174,-12.7821,49.7093,7.5490,1.7757,-12.7824,48.2540,8.5665
1,Line,,,,,,,92,0.0003,-0.0097,-1.0174,-12.7821,48.2443,7.5490,1.0175,-12.7824,48.2540,8.5665
1,Line,,,,,,,90,0.0000,1.4650,0.0000,-12.7821,49.7093,7.5490,1.4650,-12.7821,48.2443,7.5490
1,Line,,,,,,,90,-0.0003,-1.4650,1.0174,-12.7823,46.4835,8.5665,1.7836,-12.7821,47.9485,7.5490
1,Line,,,,,,,90,-0.0003,-0.6585,1.0174,-12.7823,47.2899,8.5665,1.2120,-12.7821,47.9485,7.5490
1,Line,,,,,,,90,0.0000,-0.8065,0.0000,-12.7823,46.4835,8.5665,0.8065,-12.7823,47.2899,8.5665
1,Line,,,,,,,180,-0.0003,0.0000,1.0174,-12.7823,46.4835,8.5665,1.0174,-12.7820,46.4835,7.5490
1,Line,,,,,,,90,0.0001,-2.6564,0.0000,-12.7823,43.8271,8.5665,2.6564,-12.7823,46.4835,8.5665
1,Line,,,,,,,90,0.0000,1.4650,0.0000,-12.7821,47.9485,7.5490,1.4650,-12.7820,46.4835,7.5490
1,Line,,,,,,,180,-0.0003,0.0000,1.0174,-12.7826,55.0936,8.5665,1.0174,-12.7823,55.0936,7.5490
1,Line,,,,,,,90,0.0004,-5.3842,-1.0174,-12.7821,49.7093,7.5490,5.4795,-12.7826,55.0936,8.5665
1,Line,,,,,,,90,0.0001,-2.6921,0.0000,-12.7825,52.4014,8.5665,2.6921,-12.7826,55.0936,8.5665
1,Line,,,,,,,180,-0.0003,0.0000,1.0174,-12.7848,69.6559,8.5930,1.0174,-12.7845,69.6559,7.5756
1,Line,,,,,,,90,0.0001,-1.9324,0.0000,-12.7848,67.7234,8.5930,1.9324,-12.7848,69.6559,8.5930
1,Line,,,,,,,90,-0.0001,5.3842,0.0000,-12.7823,55.0936,7.5490,5.3842,-12.7821,49.7093,7.5490
1,Line,,,,,,,90,0.0000,-0.8065,0.0000,-12.7824,48.9029,8.5665,0.8065,-12.7824,49.7093,8.5665
1,Line,,,,,,,90,0.0003,0.8065,-1.0174,-12.7821,49.7093,7.5490,1.2983,-12.7824,48.9029,8.5665
1,Line,,,,,,,90,0.0000,-0.6489,0.0000,-12.7824,48.2540,8.5665,0.6489,-12.7824,48.9029,8.5665
1,Line,,,,,,,90,0.0004,-2.6921,-1.0174,-12.7821,49.7093,7.5490,2.8780,-12.7825,52.4014,8.5665
1,Line,,,,,,,90,0.0001,-2.6921,0.0000,-12.7824,49.7093,8.5665,2.6921,-12.7825,52.4014,8.5665
1,Line,,,,,,,0,0.0003,0.0000,-1.0174,-12.7821,49.7093,7.5490,1.0174,-12.7824,49.7093,8.5665
1,Line,,,,,,,88,-0.0003,-0.0097,1.0174,-12.7824,47.9388,8.5665,1.0175,-12.7821,47.9485,7.5490
1,Line,,,,,,,90,0.0000,-1.2423,0.0000,-12.7822,42.2696,8.5665,1.2423,-12.7822,43.5119,8.5665
1,Line,,,,,,,90,0.0001,-4.7180,0.0000,-13.8806,83.0395,9.8633,4.7180,-13.8807,87.7575,9.8633
1,Line,,,,,,,0,1.0964,0.0000,-1.2886,-12.7842,83.0396,8.5747,1.6919,-13.8806,83.0395,9.8633
1,Line,,,,,,,90,-0.0001,2.6519,0.0000,-12.7819,43.5216,7.5490,2.6519,-12.7819,40.8697,7.5490
1,Line,,,,,,,90,-0.0003,-1.2520,1.0174,-12.7822,42.2696,8.5665,1.6133,-12.7819,43.5216,7.5490
1,Line,,,,,,,88,-0.0003,-0.0097,1.0174,-12.7822,43.5119,8.5665,1.0175,-12.7819,43.5216,7.5490
1,Line,,,,,,,180,-1.0964,0.0071,1.2886,-13.8807,87.7575,9.8633,1.6919,-12.7844,87.7505,8.5747
1,Line,,,,,,,53,-1.0963,-1.4638,1.2886,-13.8807,87.7575,9.8633,2.2373,-12.7844,89.2214,8.5747
1,Line,,,,,,,71,-1.0963,-3.0980,1.2886,-13.8807,87.7575,9.8633,3.5299,-12.7844,90.8556,8.5747
1,Line,,,,,,,103,-1.0965,4.7180,1.2886,-13.8807,87.7575,9.8633,5.0122,-12.7842,83.0396,8.5747
1,Line,,,,,,,109,-1.0964,3.0980,1.2886,-13.8807,87.7575,9.8633,3.5299,-12.7843,84.6596,8.5747
1,Line,,,,,,,127,-1.0964,1.4780,1.2886,-13.8807,87.7575,9.8633,2.2466,-12.7843,86.2796,8.5747
1,Line,,,,,,,90,0.0000,-1.3999,0.0000,-12.7822,40.8697,8.5665,1.3999,-12.7822,42.2696,8.5665
1,Line,,,,,,,90,0.0000,-1.2325,0.0000,-12.7821,39.6372,8.5665,1.2325,-12.7822,40.8697,8.5665
1,Line,,,,,,,90,-0.0001,2.6324,0.0000,-12.7822,42.2696,8.5665,2.6324,-12.7821,39.6372,8.5665
1,Line,,,,,,,90,0.0000,-0.6489,0.0000,-12.7823,47.2899,8.5665,0.6489,-12.7824,47.9388,8.5665
1,Line,,,,,,,90,0.0002,-8.1692,0.0000,-12.7821,38.3143,8.5665,8.1692,-12.7823,46.4835,8.5665
1,Line,,,,,,,90,-0.0001,5.5128,0.0000,-12.7823,43.8271,8.5665,5.5128,-12.7821,38.3143,8.5665
1,Line,,,,,,,90,-0.0004,3.8648,1.0174,-12.7822,42.2696,8.5665,3.9965,-12.7818,38.4048,7.5490
1,Line,,,,,,,90,-0.0001,2.4649,0.0000,-12.7819,40.8697,7.5490,2.4649,-12.7818,38.4048,7.5490
1,Line,,,,,,,90,-0.0003,1.3999,1.0174,-12.7822,42.2696,8.5665,1.7306,-12.7819,40.8697,7.5490
1,Line,,,,,,,90,0.0000,-1.2325,0.0000,-12.7821,38.4048,8.5665,1.2325,-12.7821,39.6372,8.5665
1,Line,,,,,,,90,-0.0001,3.8648,0.0000,-12.7822,42.2696,8.5665,3.8648,-12.7821,38.4048,8.5665
1,Line,,,,,,,0,0.0003,0.0000,-1.0174,-12.7818,38.4048,7.5490,1.0174,-12.7821,38.4048,8.5665
1,Line,,,,,,,180,-0.5963,0.0002,0.0000,-19.1444,62.8521,-7.4198,0.5963,-18.5481,62.8519,-7.4198
1,Line,,,,,,,64,0.5966,1.2210,0.0000,-18.5478,64.0730,-7.4198,1.3589,-19.1444,62.8521,-7.4198
1,Line,,,,,,,90,0.0003,1.2211,0.0000,-19.1441,64.0732,-7.4198,1.2211,-19.1444,62.8521,-7.4198
1,Line,,,,,,,90,-0.0003,-1.2211,-0.8214,-18.5481,62.8519,-7.4198,1.4716,-18.5478,64.0730,-6.5985
1,Line,,,,,,,90,-0.0003,-1.2211,0.0000,-18.5481,62.8519,-6.5985,1.2211,-18.5478,64.0730,-6.5985
1,Line,,,,,,,0,0.0000,0.0000,-0.8214,-18.5481,62.8519,-7.4198,0.8214,-18.5481,62.8519,-6.5985
