Count,Name,Area,Center X,Center Y,Center Z,Length,Radius,Start Angle,Total Angle,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z
1,Line,,,,,0.6220,,,,90,0.0000,0.6220,0.0000,6.4968,-2.4941,0.1443,6.4968,-3.1161,0.1443
1,Line,,,,,0.0841,,,,180,-0.0799,0.0000,-0.0261,11.0914,-1.8561,-0.0078,11.1713,-1.8561,0.0183
1,Line,,,,,0.0482,,,,0,0.0260,0.0000,0.0406,6.4968,-3.1161,0.1443,6.4708,-3.1161,0.1037
1,Line,,,,,0.0838,,,,180,-0.0833,0.0000,-0.0094,12.2653,-1.8561,-0.0107,12.3486,-1.8561,-0.0014
1,Line,,,,,0.0838,,,,0,0.0833,0.0000,0.0094,12.3486,-3.1161,-0.0014,12.2653,-3.1161,-0.0107
1,Line,,,,,0.0482,,,,180,-0.0260,0.0000,-0.0406,6.4708,-1.8561,0.1037,6.4968,-1.8561,0.1443
1,Line,,,,,0.0835,,,,180,-0.0719,0.0000,0.0425,13.3044,-1.8561,0.0570,13.3763,-1.8561,0.0145
1,Line,,,,,0.0835,,,,0,0.0719,0.0000,-0.0425,13.3763,-3.1161,0.0145,13.3044,-3.1161,0.0570
1,Line,,,,,0.0835,,,,180,-0.0520,0.0000,-0.0653,12.4940,-1.8561,0.0790,12.5460,-1.8561,0.1443
1,Line,,,,,0.6220,,,,270,0.0000,-0.6220,0.0000,5.7884,-3.1161,0.1443,5.7884,-2.4941,0.1443
1,Line,,,,,0.0841,,,,0,0.0799,0.0000,0.0261,11.1713,-3.1161,0.0183,11.0914,-3.1161,-0.0078
1,Line,,,,,0.0346,,,,180,-0.0272,0.0000,0.0213,5.7884,-1.8561,0.1443,5.8156,-1.8561,0.1230
1,Line,,,,,0.0346,,,,0,0.0272,0.0000,-0.0213,5.8156,-3.1161,0.1230,5.7884,-3.1161,0.1443
1,Line,,,,,0.1060,,,,0,0.1060,0.0000,0.0000,13.4545,-2.2739,2.7142,13.3485,-2.2739,2.7142
1,Line,,,,,0.7709,,,,0,0.7709,0.0000,0.0000,12.2448,-2.3355,2.7187,11.4739,-2.3355,2.7187
1,Line,,,,,0.1930,,,,0,0.1930,0.0000,0.0000,13.3485,-2.4589,2.7238,13.1555,-2.4589,2.7238
1,Line,,,,,0.1060,,,,0,0.1060,0.0000,0.0000,13.4545,-2.2125,2.7085,13.3485,-2.2125,2.7085
1,Line,,,,,0.0360,,,,0,0.0360,0.0000,0.0000,13.1555,-2.8288,2.7085,13.1195,-2.8288,2.7085
1,Line,,,,,0.0569,,,,0,0.0569,0.0000,0.0000,12.3142,-2.8901,2.7014,12.2573,-2.8901,2.7014
1,Line,,,,,0.1060,,,,0,0.1060,0.0000,0.0000,13.4545,-2.5206,2.7244,13.3485,-2.5206,2.7244
1,Line,,,,,0.1930,,,,0,0.1930,0.0000,0.0000,13.3485,-2.8288,2.7085,13.1555,-2.8288,2.7085
