Count,Name,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Length,Start X,Start Y,Start Z,Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
1,Line,,,,,,,,90,0.0000,-1.8120,0.0000,0.4357,27.2582,3.9384,1.8120,0.4357,29.0701,3.9384,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.2884,0.4357,27.3405,3.5858,0.2884,0.4357,27.3405,3.8742,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.7525,0.4357,28.9724,3.5218,0.7525,0.4357,28.9724,2.7693,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.2884,0.5182,11.0380,3.8742,0.2884,0.5182,11.0380,3.5858,,,,,,
1,Line,,,,,,,,0,1.8616,0.0000,0.0000,2.8998,4.1020,1.7741,1.8616,1.0382,4.1020,1.7741,,,,,,
1,Line,,,,,,,,0,0.0400,0.0000,0.0000,1.1782,1.4172,0.6750,0.0400,1.1382,1.4172,0.6750,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,19.6214,3.5858,0.0826,3.3884,19.6214,3.5858,,,,,,
1,Line,,,,,,,,90,0.0000,-1.6319,0.0000,0.4357,27.3405,3.5218,1.6319,0.4357,28.9724,3.5218,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.2884,0.5182,27.3405,3.5858,0.2884,0.5182,27.3405,3.8742,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.2884,3.3884,27.6073,3.5858,0.2884,3.3884,27.6073,3.8742,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,1.2256,3.3884,13.8838,3.9384,1.2256,3.3884,13.8838,2.7128,,,,,,
1,Line,,,,,,,,0,0.0825,0.0000,0.0000,0.5182,11.0380,2.7693,0.0825,0.4357,11.0380,2.7693,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.2884,0.5182,7.0420,3.8742,0.2884,0.5182,7.0420,3.5858,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.7525,3.3884,13.9564,3.5218,0.7525,3.3884,13.9564,2.7693,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.9223,1.6931,34.2030,4.1897,0.9223,1.6931,34.2030,3.2674,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.7559,3.3059,5.9716,3.5218,0.7559,3.3059,5.9716,2.7659,,,,,,
1,Line,,,,,,,,180,-0.5700,0.0000,0.0000,1.6931,34.2030,3.2674,0.5700,2.2631,34.2030,3.2674,,,,,,
1,Line,,,,,,,,90,0.0000,0.0300,0.0000,1.6931,34.2030,3.2674,0.0300,1.6931,34.1730,3.2674,,,,,,
1,Line,,,,,,,,90,0.0000,0.7906,0.0000,0.4357,33.1257,4.0270,0.7906,0.4357,32.3352,4.0270,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-1.4371,0.4357,32.3352,2.5899,1.4371,0.4357,32.3352,4.0270,,,,,,
1,Line,,,,,,,,180,0.0000,0.0000,-1.4371,0.4357,31.5446,2.5899,1.4371,0.4357,31.5446,4.0270,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-1.4371,0.4357,31.5137,2.5899,1.4371,0.4357,31.5137,4.0270,,,,,,
1,Line,,,,,,,,0,0.0826,0.0000,0.0000,0.5182,7.0420,3.5858,0.0826,0.4357,7.0420,3.5858,,,,,,
1,Line,,,,,,,,90,0.0000,1.6854,0.0000,0.5182,7.0420,3.5858,1.6854,0.5182,5.3566,3.5858,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,11.6245,2.7693,0.0826,3.3884,11.6245,2.7693,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,11.6245,3.5218,0.0826,3.3884,11.6245,3.5218,,,,,,
1,Line,,,,,,,,90,0.0000,1.6336,0.0000,3.3059,7.6052,3.5218,1.6336,3.3059,5.9716,3.5218,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-1.2256,0.4357,25.0808,2.7128,1.2256,0.4357,25.0808,3.9384,,,,,,
1,Line,,,,,,,,90,0.0000,-1.8097,0.0000,0.4357,23.2711,3.9384,1.8097,0.4357,25.0808,3.9384,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.7525,0.4357,23.3466,2.7693,0.7525,0.4357,23.3466,3.5218,,,,,,
1,Line,,,,,,,,90,0.0000,-1.6512,0.0000,0.4357,23.3466,3.5218,1.6512,0.4357,24.9978,3.5218,,,,,,
1,Line,,,,,,,,90,0.0000,-1.6724,0.0000,3.3059,21.9259,3.5858,1.6724,3.3059,23.5983,3.5858,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.2884,3.3059,21.9259,3.8742,0.2884,3.3059,21.9259,3.5858,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-1.2256,0.4357,23.2711,2.7128,1.2256,0.4357,23.2711,3.9384,,,,,,
1,Line,,,,,,,,90,0.0000,1.6854,0.0000,3.3884,27.6073,3.5218,1.6854,3.3884,25.9219,3.5218,,,,,,
1,Line,,,,,,,,90,0.0000,1.6897,0.0000,0.4357,5.0337,3.5866,1.6897,0.4357,3.3439,3.5866,,,,,,
1,Line,,,,,,,,90,0.0000,-1.6897,0.0000,0.4357,3.3439,3.5215,1.6897,0.4357,5.0337,3.5215,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,5.9716,3.5218,0.0826,3.3884,5.9716,3.5218,,,,,,
1,Line,,,,,,,,180,-0.0826,0.0000,0.0000,3.3059,27.6073,3.5218,0.0826,3.3884,27.6073,3.5218,,,,,,
1,Line,,,,,,,,0,0.0825,0.0000,0.0000,0.5182,5.3566,2.7693,0.0825,0.4357,5.3566,2.7693,,,,,,
1,Line,,,,,,,,0,0.0826,0.0000,0.0000,0.5182,7.0420,3.5218,0.0826,0.4357,7.0420,3.5218,,,,,,
1,Line,,,,,,,,90,0.0000,-1.8098,0.0000,0.4357,3.2907,2.7128,1.8098,0.4357,5.1005,2.7128,,,,,,
1,Line,,,,,,,,0,0.0826,0.0000,0.0000,0.5182,7.0420,2.7693,0.0826,0.4357,7.0420,2.7693,,,,,,
1,Line,,,,,,,,90,0.0000,-1.6637,0.0000,0.5182,29.3401,3.5218,1.6637,0.5182,31.0038,3.5218,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.7559,0.5182,29.3401,2.7659,0.7559,0.5182,29.3401,3.5218,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-1.2256,0.4357,29.2604,2.7128,1.2256,0.4357,29.2604,3.9384,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.7559,0.5182,31.0038,3.5218,0.7559,0.5182,31.0038,2.7659,,,,,,
1,Line,,,,,,,,180,-0.0600,0.0000,0.0000,1.0782,5.4103,1.1072,0.0600,1.1382,5.4103,1.1072,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-1.1684,0.4357,33.1647,2.8586,1.1684,0.4357,33.1647,4.0270,,,,,,
1,Line,,,,,,,,180,-0.0825,0.0000,0.0000,0.4357,31.0038,3.5218,0.0825,0.5182,31.0038,3.5218,,,,,,
1,Line,,,,,,,,90,0.0000,-1.6637,0.0000,0.4357,29.3401,3.5218,1.6637,0.4357,31.0038,3.5218,,,,,,
1,Line,,,,,,,,90,0.0000,0.5144,0.0000,0.4357,32.1910,3.9217,0.5144,0.4357,31.6767,3.9217,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,-0.7525,3.3884,25.6025,2.7693,0.7525,3.3884,25.6025,3.5218,,,,,,
1,Line,,,,,,,,180,-0.0400,0.0000,0.0000,2.7698,2.0235,1.7275,0.0400,2.8098,2.0235,1.7275,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,1.1875,0.4357,32.1910,3.9217,1.1875,0.4357,32.1910,2.7343,,,,,,
1,Line,,,,,,,,180,0.0825,0.0000,0.0000,0.5182,9.0476,3.5858,0.0825,0.4357,9.0476,3.5858,,,,,,
1,Line,,,,,,,,0,0.0000,0.0000,0.7559,0.4357,31.0038,3.5218,0.7559,0.4357,31.0038,2.7659,,,,,,
1,Line,,,,,,,,0,0.0825,0.0000,0.0000,0.5182,7.3614,3.5858,0.0825,0.4357,7.3614,3.5858,,,,,,
1,Line,,,,,,,,180,0.0825,0.0000,0.0000,0.5182,9.0476,3.8742,0.0825,0.4357,9.0476,3.8742,,,,,,
1,Line,,,,,,,,180,-0.0400,0.0000,0.0000,2.7698,4.5000,1.6455,0.0400,2.8098,4.5000,1.6455,,,,,,
1,Line,,,,,,,,180,0.0825,0.0000,0.0000,0.5182,27.3405,3.5218,0.0825,0.4357,27.3405,3.5218,,,,,,
1,Line,,,,,,,,0,0.0826,0.0000,0.0000,0.5182,28.9724,3.5218,0.0826,0.4357,28.9724,3.5218,,,,,,
1,Line,,,,,,,,0,-1.7916,0.0000,0.0000,1.0782,4.9845,1.0506,1.7916,2.8698,4.9845,1.0506,,,,,,
1,Line,,,,,,,,180,-1.7916,0.0000,0.0000,1.0782,4.9896,1.0894,1.7916,2.8698,4.9896,1.0894,,,,,,
1,Line,,,,,,,,180,-0.0600,0.0000,0.0000,1.0782,1.3333,0.9597,0.0600,1.1382,1.3333,0.9597,,,,,,
1,Line,,,,,,,,180,-0.0400,0.0000,0.0000,2.7698,5.1356,1.6698,0.0400,2.8098,5.1356,1.6698,,,,,,
